,movie_name,movie_data,movie_scores,movie_type,movie_lang,movie_len
174,心灵捕手,1997-12-05,82,剧情,英语,126
175,BLACKPINK：照亮天空,2020-10-14,82,"纪录,音乐",朝鲜语,79
176,哪吒之魔童闹海,2025-01-29,82,"动画,动作,奇幻,冒险",unkonwn,144
177,非常嫌疑犯,1995-08-16,82,"剧情,犯罪,惊悚",英语,96
178,熔炉,2011-09-22,82,剧情,朝鲜语,123
179,偷自行车的人,1948-11-24,82,剧情,意大利语,93
180,楚门的世界,1998-06-05,82,"喜剧,剧情",英语,103
181,无间道风云,2006-10-05,82,"剧情,惊悚,犯罪",英语,151
182,Top Gun: Maverick,2022-05-27,82,"动作,剧情",unkonwn,131
183,我在雨中等你,2019-08-09,82,"剧情,爱情",英语,109
184,疤面煞星,1983-12-09,82,"动作,犯罪,剧情",英语,170
185,何以为家,2019-04-29,82,剧情,阿拉伯语,126
186,河狸变身计划,2026-03-20,81,"冒险,动画,喜剧,家庭,科幻",英语,99
187,东京物语,1953-11-03,81,剧情,日语,136
188,多哥,2019-12-20,81,"冒险,历史,剧情",英语,113
189,第七封印,1957-02-16,81,"奇幻,剧情",瑞典语,96
190,寻子遇仙记,1928-04-29,81,"喜剧,剧情",英语,68
191,卡萨布兰卡,1943-07-07,81,"剧情,爱情",英语,102
192,沙丘2,2024-03-08,81,"科幻,冒险",英语,166
193,朝花夕誓：于离别之朝束起约定之花,2019-02-02,81,"动画,剧情,奇幻",日语,115
194,迷魂记,2019-04-13,81,"悬疑,爱情,惊悚",英语,128
195,我的英雄学院：英雄崛起,2019-12-20,81,"动画,动作,奇幻,冒险",日语,104
196,鹬,2016-06-17,81,"家庭,动画",英语,6
197,雨中曲,1981-05-15,81,"喜剧,爱情",英语,103
198,地球公民,2005-09-24,81,纪录,英语,95
199,机器人总动员,2026-08-15,81,"动画,家庭,科幻",英语,98
200,少年的你,2019-10-25,81,"剧情,犯罪,爱情",unkonwn,138
201,假面,2026-04-19,81,剧情,瑞典语,85
202,出租车司机,2014-06-20,81,"犯罪,剧情",英语,113
203,奇爱博士,2024-04-18,81,"喜剧,战争",英语,95
204,Palmer,2021-01-28,81,剧情,unkonwn,110
205,全金属外壳,1987-06-26,81,"剧情,战争",英语,117
206,中央车站,1998-04-03,81,剧情,葡萄牙语,110
207,小丑,2019-10-04,81,"犯罪,惊悚,剧情",英语,122
208,杀死比尔：血色全传,2026-08-07,81,"动作,犯罪,剧情,惊悚",英语,253
209,Love Hurts,2002-11-08,81,未知,西班牙语,104
210,阿尔多、吉欧瓦尼与吉奥科默喜剧集,1996-03-29,81,未知,意大利语,130
211,落水狗,1992-10-23,81,"犯罪,惊悚",英语,99
212,我的朋友们,1975-10-24,81,喜剧,意大利语,140
213,姥姥的外孙,2024-08-17,81,剧情,泰语,127
214,囚徒,2013-09-20,81,"剧情,惊悚,犯罪",英语,153
215,咒术回战0,2025-04-03,81,"动画,动作,奇幻",日语,104
216,焦土之城,2010-09-17,81,"剧情,战争,悬疑",法语,130
217,永远的车神,2011-06-02,81,纪录,英语,106
218,奇迹男孩,2018-01-19,81,"家庭,剧情",英语,113
219,狩猎,2012-09-24,81,剧情,丹麦语,115
220,真人快打传奇：蝎子的复仇,2020-04-12,81,"动画,动作,奇幻",英语,80
221,两杆大烟枪,1998-08-28,81,"喜剧,犯罪",英语,105
222,困在时间里的父亲,2021-06-18,81,剧情,英语,97
223,地球之盐,2014-09-27,81,纪录,法语,110
224,群体,2026-05-21,81,"动作,恐怖,科幻",朝鲜语,123
225,紫罗兰永恒花园外传：永远与自动手记人偶,2020-01-10,81,"剧情,奇幻,动画",日语,90
226,花样年华,2025-02-14,81,"剧情,爱情",Cantonese,99
227,马里乌波尔20天,2023-07-14,81,"纪录,战争",英语,94
228,燃烧女子的肖像,2019-09-18,81,"剧情,爱情",法语,120
229,暖暖内含光,2024-04-18,81,"科幻,剧情,爱情",英语,108
230,心灵奇旅,2020-12-25,81,"动画,家庭,剧情,音乐,奇幻",英语,101
231,辉耀姬物语,2014-06-02,81,"动画,剧情,奇幻",日语,137
232,潜行者,1979-05-25,81,"科幻,剧情",俄语,163
233,双重赔偿,2026-06-13,81,"犯罪,惊悚",英语,107
234,大都会,2011-06-18,81,"剧情,科幻",德语,153
235,从海底出击,1981-09-17,81,"剧情,历史,战争",德语,200
236,山椒大夫,1954-03-31,81,未知,unkonwn,124
